"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2018년 08월 23일","276.12","269.84","279.19","268.94","3.94M","2.33%"
"2018년 08월 22일","269.84","280.90","298.20","266.40","5.03M","-3.94%"
"2018년 08월 21일","280.90","271.90","282.77","270.26","2.97M","3.62%"
"2018년 08월 20일","271.08","299.33","303.74","270.17","3.88M","-9.44%"
"2018년 08월 19일","299.33","293.90","306.30","289.50","3.54M","1.85%"
"2018년 08월 18일","293.89","316.91","320.81","282.76","4.31M","-7.26%"
"2018년 08월 17일","316.90","286.76","316.90","285.78","4.75M","10.51%"
"2018년 08월 16일","286.76","281.12","298.19","278.60","4.08M","2.01%"
"2018년 08월 15일","281.12","278.30","303.85","277.91","5.17M","1.06%"
"2018년 08월 14일","278.19","284.00","284.00","250.84","5.96M","-2.05%"
"2018년 08월 13일","284.01","318.20","321.22","281.17","2.33M","-10.74%"
"2018년 08월 12일","318.18","317.63","327.51","314.71","1.52M","0.19%"
"2018년 08월 11일","317.59","331.78","332.52","305.19","2.16M","-4.29%"
"2018년 08월 10일","331.81","363.33","365.36","326.67","1.74M","-8.68%"
"2018년 08월 09일","363.34","355.48","369.74","351.07","1.42M","2.22%"
"2018년 08월 08일","355.44","378.29","380.15","348.98","2.05M","-6.03%"
"2018년 08월 07일","378.25","405.38","410.57","370.06","1.63M","-6.70%"
"2018년 08월 06일","405.40","408.81","413.40","401.66","1.02M","-0.84%"
"2018년 08월 05일","408.85","407.11","412.51","401.22","1.02M","0.43%"
"2018년 08월 04일","407.09","417.58","419.70","402.52","1.14M","-2.51%"
"2018년 08월 03일","417.58","411.00","419.74","398.10","1.43M","1.60%"
"2018년 08월 02일","411.00","420.33","424.51","408.21","1.32M","-2.21%"
"2018년 08월 01일","420.30","431.88","434.43","407.96","1.64M","-2.60%"
"2018년 07월 31일","431.50","456.65","457.33","427.81","1.52M","-5.51%"
"2018년 07월 30일","456.64","466.41","468.60","447.06","1.38M","-2.09%"
"2018년 07월 29일","466.41","468.89","471.78","462.04","1.04M","-0.51%"
"2018년 07월 28일","468.78","470.24","471.47","461.55","1.07M","-0.31%"
"2018년 07월 27일","470.23","462.79","473.58","457.36","1.17M","1.62%"
"2018년 07월 26일","462.75","472.03","484.59","460.61","1.11M","-1.97%"
"2018년 07월 25일","472.03","479.78","484.97","464.75","1.38M","-1.64%"
"2018년 07월 24일","479.88","450.58","484.30","449.44","1.59M","6.51%"
"2018년 07월 23일","450.56","459.02","470.37","448.14","1.32M","-1.84%"
"2018년 07월 22일","459.02","461.51","472.88","456.35","918.81K","-0.54%"
"2018년 07월 21일","461.52","449.44","468.95","443.04","972.66K","2.70%"
"2018년 07월 20일","449.38","469.48","469.74","441.74","1.52M","-4.28%"
"2018년 07월 19일","469.47","480.00","484.00","463.94","1.21M","-2.19%"
"2018년 07월 18일","480.00","499.86","515.20","470.91","1.52M","-3.97%"
"2018년 07월 17일","499.87","479.68","511.54","467.33","1.70M","4.18%"
"2018년 07월 16일","479.79","450.87","480.84","446.14","1.42M","6.43%"
"2018년 07월 15일","450.81","434.09","455.68","432.59","916.02K","3.85%"
"2018년 07월 14일","434.09","432.88","439.94","429.89","932.65K","0.29%"
"2018년 07월 13일","432.85","430.86","442.02","425.77","1.24M","0.47%"
"2018년 07월 12일","430.84","445.96","446.27","418.71","1.55M","-3.40%"
"2018년 07월 11일","445.99","432.67","447.62","425.60","1.05M","3.08%"
"2018년 07월 10일","432.67","471.77","473.36","429.39","1.62M","-8.24%"
"2018년 07월 09일","471.52","486.41","488.10","469.93","1.20M","-3.07%"
"2018년 07월 08일","486.45","485.40","494.03","482.24","2.16M","0.22%"
"2018년 07월 07일","485.40","469.91","486.18","464.29","1.62M","3.30%"
"2018년 07월 06일","469.90","468.47","474.58","455.05","1.75M","0.30%"
